653.00,653.00,783600.00,3433.00,1974.00,14507.00,0.00,11.00,8514.00,6555.00,1SQ,21570,Star Marianas Air Inc.,01169,D,1SQ,Star Marianas Air Inc.,1,6,14955,1495503,34955,SPN,"Saipan, TT",TT,75,U.S. Pacific Trust Territories and Possessions,US,United States,5,15215,1521503,35215,TIQ,"Tinian, TT",TT,75,U.S. Pacific Trust Territories and Possessions,US,United States,5,0,079,1,2023,3,9,1,F,DU
653.00,653.00,783600.00,3434.00,1982.00,13949.00,0.00,11.00,9042.00,7083.00,1SQ,21570,Star Marianas Air Inc.,01169,D,1SQ,Star Marianas Air Inc.,1,6,14955,1495503,34955,SPN,"Saipan, TT",TT,75,U.S. Pacific Trust Territories and Possessions,US,United States,5,15215,1521503,35215,TIQ,"Tinian, TT",TT,75,U.S. Pacific Trust Territories and Possessions,US,United States,5,0,079,1,2023,4,12,1,F,DU
654.00,648.00,20533700.00,82944.00,58445.00,57222.00,0.00,100.00,27808.00,16282.00,HA,19690,Hawaiian Airlines Inc.,05375,D,HA,Hawaiian Airlines Inc.,3,3,13830,1383002,33830,OGG,"Kahului, HI",HI,15,Hawaii,US,United States,2,12173,1217305,32134,HNL,"Honolulu, HI",HI,15,Hawaii,US,United States,2,6,608,1,2023,4,11,1,F,DU
655.00,650.00,20581600.00,83200.00,57929.00,285415.00,0.00,100.00,28039.00,14261.00,HA,19690,Hawaiian Airlines Inc.,05375,D,HA,Hawaiian Airlines Inc.,3,3,12173,1217305,32134,HNL,"Honolulu, HI",HI,15,Hawaii,US,United States,2,13830,1383002,33830,OGG,"Kahului, HI",HI,15,Hawaii,US,United States,2,6,608,1,2023,4,11,1,F,DU
666.00,652.00,20642600.00,83456.00,59894.00,48601.00,0.00,100.00,27835.00,16188.00,HA,19690,Hawaiian Airlines Inc.,05375,D,HA,Hawaiian Airlines Inc.,3,3,13830,1383002,33830,OGG,"Kahului, HI",HI,15,Hawaii,US,United States,2,12173,1217305,32134,HNL,"Honolulu, HI",HI,15,Hawaii,US,United States,2,6,608,1,2023,4,12,1,F,DU
682.00,670.00,21215100.00,85760.00,60474.00,272297.00,0.00,100.00,28613.00,14585.00,HA,19690,Hawaiian Airlines Inc.,05375,D,HA,Hawaiian Airlines Inc.,3,3,12173,1217305,32134,HNL,"Honolulu, HI",HI,15,Hawaii,US,United States,2,13830,1383002,33830,OGG,"Kahului, HI",HI,15,Hawaii,US,United States,2,6,608,1,2023,4,12,1,F,DU
694.00,684.00,21626900.00,87552.00,64420.00,48385.00,5.00,100.00,30626.00,17055.00,HA,19690,Hawaiian Airlines Inc.,05375,D,HA,Hawaiian Airlines Inc.,3,3,13830,1383002,33830,OGG,"Kahului, HI",HI,15,Hawaii,US,United States,2,12173,1217305,32134,HNL,"Honolulu, HI",HI,15,Hawaii,US,United States,2,6,608,1,2023,1,1,1,F,DU
695.00,686.00,21698600.00,87808.00,66156.00,453427.00,0.00,100.00,29102.00,14919.00,HA,19690,Hawaiian Airlines Inc.,05375,D,HA,Hawaiian Airlines Inc.,3,3,12173,1217305,32134,HNL,"Honolulu, HI",HI,15,Hawaii,US,United States,2,13830,1383002,33830,OGG,"Kahului, HI",HI,15,Hawaii,US,United States,2,6,608,1,2023,1,1,1,F,DU
705.00,704.00,22303000.00,90112.00,57942.00,213293.00,0.00,100.00,29839.00,15214.00,HA,19690,Hawaiian Airlines Inc.,05375,D,HA,Hawaiian Airlines Inc.,3,3,12173,1217305,32134,HNL,"Honolulu, HI",HI,15,Hawaii,US,United States,2,13830,1383002,33830,OGG,"Kahului, HI",HI,15,Hawaii,US,United States,2,6,608,1,2023,3,9,1,F,DU
707.00,705.00,22332300.00,90240.00,54446.00,44856.00,0.00,100.00,28674.00,16899.00,HA,19690,Hawaiian Airlines Inc.,05375,D,HA,Hawaiian Airlines Inc.,3,3,13830,1383002,33830,OGG,"Kahului, HI",HI,15,Hawaii,US,United States,2,12173,1217305,32134,HNL,"Honolulu, HI",HI,15,Hawaii,US,United States,2,6,608,1,2023,3,9,1,F,DU
709.00,703.00,22279500.00,89984.00,62064.00,53758.00,0.00,100.00,30432.00,17104.00,HA,19690,Hawaiian Airlines Inc.,05375,D,HA,Hawaiian Airlines Inc.,3,3,13830,1383002,33830,OGG,"Kahului, HI",HI,15,Hawaii,US,United States,2,12173,1217305,32134,HNL,"Honolulu, HI",HI,15,Hawaii,US,United States,2,6,608,1,2023,4,10,1,F,DU
710.00,706.00,22373800.00,90368.00,64705.00,252480.00,0.00,100.00,31029.00,15293.00,HA,19690,Hawaiian Airlines Inc.,05375,D,HA,Hawaiian Airlines Inc.,3,3,12173,1217305,32134,HNL,"Honolulu, HI",HI,15,Hawaii,US,United States,2,13830,1383002,33830,OGG,"Kahului, HI",HI,15,Hawaii,US,United States,2,6,608,1,2023,4,10,1,F,DU
715.00,715.00,858000.00,3695.00,1977.00,11891.00,0.00,11.00,9149.00,7004.00,1SQ,21570,Star Marianas Air Inc.,01169,D,1SQ,Star Marianas Air Inc.,1,6,14955,1495503,34955,SPN,"Saipan, TT",TT,75,U.S. Pacific Trust Territories and Possessions,US,United States,5,15215,1521503,35215,TIQ,"Tinian, TT",TT,75,U.S. Pacific Trust Territories and Possessions,US,United States,5,0,079,1,2023,1,1,1,F,DU
717.00,717.00,860400.00,3706.00,1821.00,6243.00,0.00,11.00,8554.00,6403.00,1SQ,21570,Star Marianas Air Inc.,01169,D,1SQ,Star Marianas Air Inc.,1,6,15215,1521503,35215,TIQ,"Tinian, TT",TT,75,U.S. Pacific Trust Territories and Possessions,US,United States,5,14955,1495503,34955,SPN,"Saipan, TT",TT,75,U.S. Pacific Trust Territories and Possessions,US,United States,5,0,079,1,2023,1,1,1,F,DU
